E1_1 Int (Treated)	E1_2 Int (Treated)	E1_3 Int (Treated)	E2_1 Int (Treated)	E2_2 Int (Treated)	E2_3 Int (Treated)	E3_1 Int (Treated)	E3_2 Int (Treated)	E3_3 Int (Treated)	F4_1 Int (Treated)	F4_2 Int (Treated)	F4_3 Int (Treated)	F5_1 Int (Treated)	F5_2 Int (Treated)	F5_3 Int (Treated)	F7_1 Int (Treated)	F7_2 Int (Treated)	F7_3 Int (Treated)	C3_1 Int (Treated)	C3_2 Int (Treated)	C3_3 Int (Treated)	E4_1 Int (Treated)	E4_2 Int (Treated)	E4_3 Int (Treated)	E5_1 Int (Treated)	E5_2 Int (Treated)	E5_3 Int (Treated)	E6_1 Int (Treated)	E6_2 Int (Treated)	E6_3 Int (Treated)	F1_1 Int (Treated)	F1_2 Int (Treated)	F1_3 Int (Treated)	F2_1 Int (Treated)	F2_2 Int (Treated)	F2_3 Int (Treated)	F3_1 Int (Treated)	F3_2 Int (Treated)	F3_3 Int (Treated)	F6_1 Int (Treated)	F6_2 Int (Treated)	F6_3 Int (Treated)
0	0	0	0	0	14.36326	0	0	15.28477	0	13.24914	13.17824	13.25408	13.22243	13.14258	0	14.1337	0	0	0	0	13.45464	13.25122	13.24774	0	13.92142	14.16607	13.08601	13.22839	13.55953	15.33502	15.46782	0	0	15.69253	0	0	0	0	0	0	13.09517
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.869017	7.646454	8.137194	0	0	0	0	8.897703	0	0	0	0	0	7.944665	0	8.555037	8.555037	0	0	0	0	0	9.330863	0	0	0	9.286402
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.25444	15.21161	15.88558	0	0	0	0	0
0	0	0	0	14.52677	14.9723	15.38986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.62463	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.28011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	13.86795	0	0	0	0	0	0	0	0	12.29504	13.45487	13.24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.38863	0
14.8417	0	14.81379	14.7243	14.95001	14.97008	0	14.96653	14.97205	0	0	14.7456	14.76847	0	0	0	0	14.97451	14.79601	14.95781	14.85184	15.08116	14.97465	0	14.92221	15.0162	14.96089	14.98167	14.87163	13.93433	0	14.85437	14.89726	14.95343	14.72349	0	14.81574	14.87522	0	0	14.93036	14.8577
