A1_1 Int (Treated)	A1_2 Int (Treated)	A1_3 Int (Treated)	A2_1 Int (Treated)	A2_2 Int (Treated)	A2_3 Int (Treated)	A6_1 Int (Treated)	A6_2 Int (Treated)	A6_3 Int (Treated)	B1_1 Int (Treated)	B1_2 Int (Treated)	B1_3 Int (Treated)	B10_1 Int (Treated)	B10_2 Int (Treated)	B10_3 Int (Treated)	B2_1 Int (Treated)	B2_2 Int (Treated)	B2_3 Int (Treated)	B3_1 Int (Treated)	B3_2 Int (Treated)	B3_3 Int (Treated)	B5_1 Int (Treated)	B5_2 Int (Treated)	B5_3 Int (Treated)	B6_1 Int (Treated)	B6_2 Int (Treated)	B6_3 Int (Treated)	B8_1 Int (Treated)	B8_2 Int (Treated)	B8_3 Int (Treated)	A3_1 Int (Treated)	A3_2 Int (Treated)	A3_3 Int (Treated)	A4_1 Int (Treated)	A4_2 Int (Treated)	A4_3 Int (Treated)	A5_1 Int (Treated)	A5_2 Int (Treated)	A5_3 Int (Treated)	B4_1 Int (Treated)	B4_2 Int (Treated)	B4_3 Int (Treated)	B7_1 Int (Treated)	B7_2 Int (Treated)	B7_3 Int (Treated)	B9_1 Int (Treated)	B9_2 Int (Treated)	B9_3 Int (Treated)
16.23616	16.48425	16.54275	16.29712	16.5614	16.35953	16.39346	16.43204	16.91523	16.30136	16.232	16.07239	15.99008	15.91114	16.20699	15.97821	16.24564	16.01198	15.89597	16.15557	16.07156	16.00754	16.07128	15.79683	16.34371	16.28705	15.88169	16.13311	16.36734	16.12249	16.3808	16.41331	16.1051	16.20493	16.56573	16.7017	16.22286	16.68703	16.39977	16.18721	16.3815	16.03879	16.17504	15.7388	15.59742	15.99329	15.97676	16.28546
12.44945	0	0	0	0	0	0	0	0	0	12.83958	0	0	0	0	0	13.56281	0	0	12.3074	12.16044	0	0	0	0	0	0	0	12.91137	0	0	0	0	0	0	0	0	0	0	12.19412	0	0	0	0	13.21885	0	0	0
14.69079	11.17158	11.14653	14.33145	10.98961	10.57483	11.47187	16.25566	11.70841	14.81657	11.30852	16.25893	14.46932	11.71233	14.45159	10.87767	15.98781	0	0	14.51528	0	0	0	14.48497	14.17458	0	0	0	0	0	11.15636	14.56554	14.60393	10.90684	11.26005	16.21118	14.83375	11.12309	14.901	14.43472	14.52146	14.42597	0	0	0	0	14.40173	0
15.2773	15.26415	15.20253	15.23929	0	15.16582	15.12958	15.26111	15.85416	15.34598	15.20617	14.52415	0	15.15949	14.96948	0	15.79932	0	0	0	15.11804	0	16.48635	0	0	0	15.23032	15.14777	15.23157	0	15.07527	15.14899	15.12171	0	15.23989	15.18661	15.24009	15.16134	15.14166	0	0	0	15.17335	0	0	15.2706	15.00992	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.47986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.69151	0
22.4084	22.42127	22.43205	22.4045	22.44912	22.37049	22.13396	22.12382	22.20428	22.02065	22.01904	21.96176	17.79833	17.71827	17.64301	21.81034	21.67336	21.62202	21.33113	21.22086	20.99565	19.73917	19.53798	19.34124	19.09617	18.99134	18.85178	18.34352	18.27799	18.12587	22.32044	22.29801	22.29244	22.36274	22.32975	22.24127	22.18272	22.1653	22.14208	20.63148	20.44491	20.2452	18.63712	18.45198	18.41324	17.95183	17.90982	17.85991
14.36842	14.97262	15.02738	14.79757	14.8802	14.11586	14.87841	14.91688	11.72633	13.94494	14.8718	14.85529	12.19049	14.70304	14.85968	14.71093	14.64751	12.38007	14.66239	13.97409	10.33298	0	14.47874	14.51089	14.85598	0	14.86326	14.67608	14.77755	14.80305	14.84102	14.88122	14.9414	14.84377	14.80892	14.7358	14.69231	14.9677	11.62592	14.69613	14.87425	14.82749	14.59433	14.58052	14.58607	14.79492	13.7846	0
16.55044	16.64367	16.71473	16.59434	0	16.69369	16.66356	16.59735	0	0	16.70674	16.22135	16.45489	0	16.6225	0	16.47525	0	16.67391	16.68907	16.6761	0	16.05705	16.18948	16.48629	16.54046	16.43542	16.69975	16.68307	16.6689	16.67442	16.61346	16.64128	16.49624	16.60336	16.60057	16.64896	16.70165	16.69691	16.67907	16.65745	16.66998	16.57071	16.49324	16.54337	16.42759	0	16.20537
11.05981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7511	0	0	9.858675	9.764917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.822119	0	0	0	0	0	0	0	0
9.613667	13.09303	13.09214	12.87489	12.91114	13.10014	0	0	0	12.85764	0	0	0	12.65689	0	0	0	0	0	13.15283	0	0	0	0	0	0	0	0	0	0	7.263224	6.620842	12.96723	13.32247	7.318805	6.26796	13.14965	0	0	13.08297	0	0	0	0	0	0	0	0
13.3367	13.28437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63268	0	0	13.05114	12.86308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.08388	0	0	0	0	0	0	0	0
15.78572	0	15.65795	14.9466	15.48406	15.41232	15.13606	14.25674	12.63155	15.49202	15.09324	15.50451	15.29213	9.167087	15.34405	9.815732	9.940593	0	15.31763	0	0	0	0	0	0	15.11305	0	15.45776	15.38285	15.26744	0	0	15.48705	15.39086	15.29463	15.28184	15.26497	15.44784	14.65351	15.23405	15.33484	15.26417	0	15.14836	0	15.2454	0	15.26655
14.62832	14.57155	14.71453	15.03678	14.85751	14.98453	0	14.64185	14.57501	14.73625	14.89431	14.75636	14.2568	14.00889	14.02945	14.15406	14.27796	0	0	0	0	0	0	0	0	0	0	0	0	0	15.00947	14.96222	15.07367	14.67337	14.55714	14.12635	14.48511	14.50815	14.76441	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.77325	0	0	0	0	0	0	0	0	15.33674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.32342	11.09246	11.06863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.83628	11.75366	9.277048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.13184	10.28644	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.17142	0	0
16.40698	16.39813	15.24433	13.83008	13.9655	16.29598	14.47238	16.03783	16.5386	16.15007	14.20624	14.14032	13.89432	10.43012	9.573559	16.48475	12.0022	11.60271	16.34424	16.29511	16.32516	14.06012	13.61692	13.87226	16.13562	0	16.25004	0	0	0	16.40606	14.01528	14.42175	14.22461	13.81187	14.16866	13.8691	14.13551	16.41191	13.6851	13.71338	16.4969	0	0	0	0	16.44719	0
0	0	0	0	16.5532	0	0	0	0	0	0	16.54877	16.54352	16.58587	16.49475	16.34745	16.18316	16.26358	16.34589	0	0	0	0	0	0	0	0	0	0	16.60321	16.54062	16.55624	16.51584	16.45948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.3624	15.51035	15.48485	15.19202	15.51861	15.44304	15.48822	15.41714	15.44831	15.18294	15.42256	14.606	14.74429	15.3591	15.28737	14.97347	14.86401	15.07341	15.4177	15.39481	15.35565	15.77296	0	15.32645	15.28761	0	0	15.2959	15.32156	15.35982	15.42633	15.32656	15.34899	15.34507	15.30205	15.33879	15.33367	15.37131	15.40284	15.39971	15.45195	15.45601	15.39944	14.8175	14.68891	15.40877	0	0
16.05591	16.17325	16.1783	16.28032	16.19534	16.29598	16.35511	16.32607	0	16.25705	0	16.07793	16.27428	16.24036	16.29827	16.27217	0	16.1979	0	16.35835	16.35198	0	15.80647	16.21366	0	16.38145	16.33585	16.3252	0	0	16.33476	16.58556	16.58095	16.5406	16.55072	16.52192	16.59984	16.56701	16.67387	16.27312	0	16.26856	16.40746	16.22705	16.31172	16.46587	0	0
